Id,Iq,Phi_d,Phi_q
-76.923077,257.692308,0.0561624303136,0.138148839312
92.307692,19.230769,0.00416142318725,0.0533545396771
-76.923077,203.846154,0.0511274528753,0.123060423995
-276.923077,288.461538,0.0522299348884,0.100606263861
200.000000,257.692308,0.0429110066369,0.158402222787
-30.769231,280.769231,0.057524261812,0.155762402046
-30.769231,34.615385,0.028138214441,0.0635699335039
230.769231,119.230769,0.0197363195358,0.10271527148
184.615385,103.846154,0.0190917128247,0.0987829367257
215.384615,3.846154,-0.0019548178208,0.0420777620208
153.846154,173.076923,0.0339407131084,0.133799277522
-200.000000,142.307692,0.0369725684551,0.0603025406747
-61.538462,11.538462,0.0162745246453,0.0128710693941
276.923077,3.846154,-0.00243764273221,0.0437123525628
-15.384615,219.230769,0.0517049872519,0.144717386549
169.230769,88.461538,0.0167607496323,0.0918954604666
-230.769231,50.000000,0.0180454756787,0.0024952359787
-246.153846,19.230769,0.011267602822,-0.0172830664821
200.000000,42.307692,0.00593136719277,0.0638623834579
30.769231,280.769231,0.0550866816996,0.164413288474
