Id,Iq,Phi_d,Phi_q
-300.000000,0.000000,0.00705662528082,-0.0324637867449
-300.000000,7.692308,0.00825673536809,-0.029041185705
-300.000000,15.384615,0.0095157026607,-0.0253658545183
-300.000000,23.076923,0.0108489159158,-0.0214713551366
-300.000000,30.769231,0.0122127521689,-0.0174853828519
-300.000000,38.461538,0.0135912880486,-0.0134634903548
-300.000000,46.153846,0.0150164089992,-0.00946559917853
-300.000000,53.846154,0.0164596617719,-0.00547755999877
-300.000000,61.538462,0.017924694835,-0.001470233461
-300.000000,69.230769,0.0193115461091,0.00253444012317
-300.000000,76.923077,0.0208808315378,0.00653718931034
-300.000000,84.615385,0.0223233950485,0.0104866015392
-300.000000,92.307692,0.0235996866426,0.0143833479658
-300.000000,100.000000,0.0248567838222,0.018291592549
-300.000000,107.692308,0.0261872508827,0.0222049669785
-300.000000,115.384615,0.0274331499142,0.0260435170752
-300.000000,123.076923,0.0287744694334,0.0296756548627
-300.000000,130.769231,0.0300076253674,0.0330897289971
-300.000000,138.461538,0.0311085243337,0.0363920860092
-300.000000,146.153846,0.0322784640463,0.0396350504759
-300.000000,153.846154,0.0334075003309,0.0428272330186
-300.000000,161.538462,0.0345819364225,0.0459953957743
-300.000000,169.230769,0.0357208579898,0.0491394917925
-300.000000,176.923077,0.0368233536521,0.0522750656115
-300.000000,184.615385,0.0379198217936,0.0554015962038
-300.000000,192.307692,0.0390172765305,0.0585563990851
-300.000000,200.000000,0.0401103570116,0.0617382174848
-300.000000,207.692308,0.0411856560611,0.0649197766041
-300.000000,215.384615,0.0422049160831,0.0680467010889
-300.000000,223.076923,0.0431945962596,0.0710964144581
-300.000000,230.769231,0.0441536892528,0.0740703019731
-300.000000,238.461538,0.0451469113751,0.0770453068943
-300.000000,246.153846,0.046113207827,0.0801140318116
-300.000000,253.846154,0.0470338271621,0.0830331054147
-300.000000,261.538462,0.047885468709,0.0858210292648
-300.000000,269.230769,0.0488201649215,0.0886125719461
-300.000000,276.923077,0.0497538873648,0.0914008453138
-300.000000,284.615385,0.0506367076289,0.0941043589353
-300.000000,292.307692,0.0516377510741,0.0968900927661
-300.000000,300.000000,0.0523184553188,0.0994425815175
-292.307692,0.000000,0.00709396191938,-0.0319809996776
-292.307692,7.692308,0.00832878667957,-0.0284484285354
-292.307692,15.384615,0.00962672917524,-0.0246361826199
-292.307692,23.076923,0.0109932536389,-0.0206490100047
-292.307692,30.769231,0.0123745957767,-0.0165899167132
-292.307692,38.461538,0.0137820975527,-0.0125236062844
-292.307692,46.153846,0.0152296921869,-0.00848445606655
-292.307692,53.846154,0.0167022997536,-0.00444307934687
-292.307692,61.538462,0.0181920204817,-0.000393707313243
-292.307692,69.230769,0.0195598626952,0.00364751706837
-292.307692,76.923077,0.020910984442,0.00766938896928
-292.307692,84.615385,0.0226808502221,0.0116249041554
-292.307692,92.307692,0.0236786192658,0.0155862307836
-292.307692,100.000000,0.0251662049581,0.0195537910086
-292.307692,107.692308,0.026497041224,0.0235042565867
-292.307692,115.384615,0.0278324105973,0.0273622053161
-292.307692,123.076923,0.0291366421567,0.0309852384258
-292.307692,130.769231,0.030304357341,0.0344024357839
-292.307692,138.461538,0.0314446379421,0.0377178621041
-292.307692,146.153846,0.0326279846026,0.0409799677657
-292.307692,153.846154,0.0337827614788,0.0441972060803
-292.307692,161.538462,0.0349460909602,0.0473875294773
-292.307692,169.230769,0.036084765161,0.0505665708941
-292.307692,176.923077,0.0371995278276,0.0537438797002
-292.307692,184.615385,0.0383051909344,0.056934712336
-292.307692,192.307692,0.0394181975647,0.0601764633799
-292.307692,200.000000,0.0405338178182,0.0634425514886
-292.307692,207.692308,0.041604906244,0.066650122032
