command_id,lut_row_index,rpm_mech,T_ref_Nm,Id_ref_A,Iq_ref_A,status,omega_e_rad_s,pole_pairs,flux_scale,v_max_v,rs_ohm,needs_fem,Phi_d_raw,Phi_q_raw,Phi_d_scaled,Phi_q_scaled,T_surrogate_Nm,T_error_Nm,T_rel_error,V_surrogate_V,V_margin_V,voltage_ok,note
lut_audit_000,9,0.0,0.734694,-0.345865,0.120301,mtpa,0.0,2,11.861254825070445,179.55593371797363,2.15938,True,0.016874180856794388,0.05045879316989699,0.20014895910676375,0.5985046039536722,0.6932397443278189,-0.041454255672181084,-0.05642383859427338,0.7907428100332679,178.76519090794037,True,
lut_audit_001,112,203.389831,0.979592,-0.466165,0.150376,mtpa,42.59786659229797,2,11.861254825070445,179.55593371797363,2.15938,True,0.016881030618523665,0.05030274623005101,0.20023020587612572,0.5966536914354866,0.9247466565205558,-0.05484534347944425,-0.05598794547060843,27.866817396339464,151.68911632163417,True,
lut_audit_002,337,610.169492,3.020408,-1.413534,0.511278,mtpa,127.79359956745441,2,11.861254825070445,179.55593371797363,2.15938,True,0.017003102293480954,0.04936297578486755,0.2016781291197173,0.5855068347080957,2.792242225777033,-0.22816577422296724,-0.07554137527875944,82.38395388261122,97.17197983536241,True,
lut_audit_003,421,813.559322,1.714286,-0.781955,0.345865,mtpa,170.39146595031286,2,11.861254825070445,179.55593371797363,2.15938,True,0.016961561133755798,0.05016425012092991,0.2011853988384883,0.5950109537929206,1.6045643350272507,-0.10972166497274927,-0.06400429390005476,108.86234626790838,70.69358745006525,True,
lut_audit_004,517,1016.949153,1.387755,-0.631579,0.285714,mtpa,212.98933254261084,2,11.861254825070445,179.55593371797363,2.15938,True,0.016940638413804332,0.050306733437031105,0.20093722912551035,0.5967009847135178,1.3028231721202348,-0.08493182787976528,-0.06120088047224854,135.59292335164923,43.9630103663244,True,
lut_audit_005,594,1118.644068,3.591837,-1.684211,0.601504,mtpa,234.2882657340401,2,11.861254825070445,179.55593371797363,2.15938,True,0.01703134675521018,0.04906461759588827,0.2020131438776846,0.581967932199466,3.305005521457793,-0.28683147854220703,-0.07985648528655588,148.19086048046935,31.365073237504276,True,
lut_audit_006,610,1220.338983,0.816327,-0.390977,0.120301,mtpa,255.58719892546932,2,11.861254825070445,179.55593371797363,2.15938,True,0.016870726585230762,0.05037404128819509,0.2001079871115126,0.5974993402879017,0.7730450715757351,-0.043281928424264926,-0.05302033183303373,161.9331519713757,17.622781746597923,True,
lut_audit_007,682,1322.033898,2.612245,-1.203008,0.496241,mtpa,276.88613211689847,2,11.861254825070445,179.55593371797363,2.15938,True,0.01701089428644255,0.04972340564917758,0.20177055193382995,0.5897819851752425,2.4289178006516816,-0.18332719934831854,-0.07017994075912425,175.3993502210777,4.156583496895934,True,
lut_audit_008,1168,2338.983051,1.469388,nan,nan,infeasible,489.8754646595094,2,11.861254825070445,179.55593371797363,2.15938,False,nan,nan,,,nan,nan,,,,,infeasible_or_missing_current; policy check only
lut_audit_009,1271,2542.372881,1.714286,nan,nan,infeasible,532.4733310423677,2,11.861254825070445,179.55593371797363,2.15938,False,nan,nan,,,nan,nan,,,,,infeasible_or_missing_current; policy check only
